CUSTOM.updateTime,CUSTOM.isPhoto,CUSTOM.isVideo,CUSTOM.hSpeed [m/s],CUSTOM.distance [m],CUSTOM.travelled [m],CUSTOM.hSpeed.running_max [m/s],CALC.hSpeed [m/s],CALC.distance [m],CALC.travelled [m],CALC.distance.running_max [m],CALC.height.running_max [m],OSD.latitude,OSD.longitude,OSD.height [m],OSD.altitude [m],OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.pitch,OSD.roll,OSD.yaw,OSD.flycState,OSD.flycState.RAW,OSD.flycCommand,OSD.flycCommand.RAW,OSD.canIOCWork,OSD.groundOrSky,OSD.isMotorUp,OSD.isSwaveWork,OSD.goHomeStatus,OSD.goHomeStatus.RAW,OSD.isImuPreheated,OSD.isVisionUsed,OSD.voltageWarning,OSD.modeChannel,OSD.isGPSused,OSD.compassError,OSD.waveError,OSD.gpsLevel,OSD.batteryType,OSD.isAcceletorOverRange,OSD.isVibrating,OSD.isBarometerDeadInAir,OSD.isMotorBlocked,OSD.isNotEnoughForce,OSD.isPropellerCatapult,OSD.isGoHomeHeightModified,OSD.isOutOfLimit,OSD.gpsNum,OSD.flightAction,OSD.flightAction.RAW,OSD.motorStartFailedCause,OSD.motorStartFailedCause.RAW,OSD.nonGPSCause,OSD.nonGPSCause.RAW,OSD.isQuickSpin,OSD.battery,OSD.sWaveHeight [m],OSD.flyTime [s],OSD.motorRevolution,OSD.flycVersion,OSD.droneType,OSD.imuInitFailReason,OSD.imuInitFailReason.RAW,OSD.motorFailReason,OSD.motorFailReason.RAW,OSD.ctrlDevice,OSD.ctrlDevice.RAW,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.mode,GIMBAL.mode.RAW,GIMBAL.rollAdjust,GIMBAL.pitchAdjust,GIMBAL.yawAngle,GIMBAL.isAutoCalibration,GIMBAL.autoCalibrationResult,GIMBAL.isPitchInLimit,GIMBAL.isRollInLimit,GIMBAL.isYawInLimit,GIMBAL.isTopPosition,GIMBAL.isStuck,GIMBAL.version,GIMBAL.isSingleClick,GIMBAL.isDoubleClick,GIMBAL.isTripleClick,GIMBAL.timeStamp,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.gimbal,RC.goHome,RC.mode,RC.isWheelChanged,RC.wheelOffset,RC.wheelClick,RC.record,RC.shutter,RC.playback,RC.custom1,RC.custom2,RC.bandwidth,CENTER_BATTERY.relativeCapacity,CENTER_BATTERY.currentPV [V],CENTER_BATTERY.currentCapacity [mAh],CENTER_BATTERY.fullCapacity [mAh],CENTER_BATTERY.life,CENTER_BATTERY.loopNum,CENTER_BATTERY.errorType,CENTER_BATTERY.current [A],CENTER_BATTERY.voltageCell1 [V],CENTER_BATTERY.voltageCell2 [V],CENTER_BATTERY.voltageCell3 [V],CENTER_BATTERY.voltageCell4 [V],CENTER_BATTERY.voltageCell5 [V],CENTER_BATTERY.voltageCell6 [V],CENTER_BATTERY.serialNo,CENTER_BATTERY.productDate,CENTER_BATTERY.temperature [C],CENTER_BATTERY.connStatus,CENTER_BATTERY.totalStudyCycle,CENTER_BATTERY.lastStudyCycle,CENTER_BATTERY.isNeedStudy,CENTER_BATTERY.isBatteryOnCharge,SMART_BATTERY.usefulTime [s],SMART_BATTERY.goHomeTime [s],SMART_BATTERY.landTime [s],SMART_BATTERY.goHomeBattery,SMART_BATTERY.landBattery,SMART_BATTERY.safeFlyRadius,SMART_BATTERY.volumeConsume,SMART_BATTERY.status,SMART_BATTERY.status.RAW,SMART_BATTERY.goHomeStatus,SMART_BATTERY.goHomeStatus.RAW,SMART_BATTERY.goHomeCountdown,SMART_BATTERY.voltage [V],SMART_BATTERY.battery,SMART_BATTERY.lowWarning,SMART_BATTERY.lowWarningGoHome,SMART_BATTERY.seriousLowWarning,SMART_BATTERY.seriousLowWarningLanding,SMART_BATTERY.voltagePercent,DEFORM.isDeformProtected,DEFORM.isExceptionState,DEFORM.deformStatus,DEFORM.deformStatus.RAW,DEFORM.deformMode,DEFORM.deformMode.RAW,RC_GPS.startupTime,RC_GPS.latitude,RC_GPS.longitude,RC_GPS.xSpeed [m/s],RC_GPS.ySpeed [m/s],RC_GPS.gpsNum,RC_GPS.accuracy,RC_GPS.gpsStatus,CAMERA_INFO.connectState,CAMERA_INFO.usbState,CAMERA_INFO.timeSyncState,CAMERA_INFO.photoState,CAMERA_INFO.recordState,CAMERA_INFO.sensorState,CAMERA_INFO.sdCardInsertState,CAMERA_INFO.sdCardState,CAMERA_INFO.firmUpgradeState,CAMERA_INFO.firmErrorType,CAMERA_INFO.hotState,CAMERA_INFO.enabledPhoto,CAMERA_INFO.isStoring,CAMERA_INFO.isTimePhotoing,CAMERA_INFO.encryptStatus,CAMERA_INFO.mode,CAMERA_INFO.sdCardTotalSize,CAMERA_INFO.sdCardFreeSize,CAMERA_INFO.remainedShots,CAMERA_INFO.remainedTime,CAMERA_INFO.videoRecordTime,CAMERA_INFO.cameraType,CAMERA_INFO.version,MC_PARAM.failSafeAction,MC_PARAM.OAenabled,MC_PARAM.VPSenabled,MC_PARAM.rthOAenabled,HOME.latitude,HOME.longitude,HOME.height [m],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isMultipleModeOpen,HOME.goHomeStatus,HOME.hasGoHome,HOME.compassCeleStatus,HOME.isCompassCeleing,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [m],HOME.courseLockAngle,HOME.dataRecorderStatus,HOME.dataRecorderRemainCapacity,HOME.dataRecorderRemainTime,HOME.dataRecorderFileIndex,HOME.isFlycInSimulationMode,HOME.isFlycInNavigationMode,HOME.isWingBroken,HOME.isBigGale,HOME.isBigGaleWarning,HOME.isCompassInstallErr,HOME.isFanCurrentInAbnormalState,HOME.paddleState,HOME.heightLimitStatus,HOME.useAbsoluteHeight,HOME.motor1EscmState,HOME.motor2EscmState,HOME.motor3EscmState,HOME.motor4EscmState,HOME.motor5EscmState,HOME.motor6EscmState,HOME.motor7EscmState,HOME.motor8EscmState,HOME.forceLandingHeight [m],RECOVER.droneType,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftSnBytes,RECOVER.aircraftName,RECOVER.activeTimestamp,RECOVER.cameraSn,RECOVER.rcSn,RECOVER.batterySn,RECOVER.gimbalType,FIRMWARE.version,DETAILS.street,DETAILS.citypart,DETAILS.city,DETAILS.area,DETAILS.isFavorite,DETAILS.isNew,DETAILS.needUpload,DETAILS.recordLineCount,DETAILS.timestamp,DETAILS.latitude,DETAILS.longitude,DETAILS.totalDistance [m],DETAILS.totalTime [s],DETAILS.maxHeight [m],DETAILS.maxHorizontalSpeed [m/s],DETAILS.maxVerticalSpeed [m/s],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.takeOffAltitude [m],DETAILS.droneType,DETAILS.activeTimestamp,DETAILS.aircraftName,DETAILS.aircraftSnBytes,DETAILS.cameraSn,DETAILS.rcSn,DETAILS.batterySn,DETAILS.appType,DETAILS.appVersion,APP_GPS.latitude,APP_GPS.longitude,APP_GPS.accuracy,APP_TIP.tip,APP_WARN.warn,APP_SER_WARN.warn
2020/01/22 12:28:09.720,,Recording,0,,45.45,0.3,0.1,29.25,45.51,29.57,40.1,59.405425,9.135482,27.2,165.9,0,0,0,0.8,1.1,-32.7,GPS_Atti,6,Other,0,True,Sky,True,False,Standby,0,True,False,0,F,True,False,False,5,Smart,False,False,False,False,False,False,False,False,17,RC_AssistantTakeoff,9,None,0,Already,0,False,183,0,134.5,1,9,P3 Advanced,MonitorError,0,,0,RC,0,-89.9,0,-32.7,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,0,0,0,0,0,0,0,F,False,0,0,0,0,0,0,0,0,90,15.276,3767,4186,95,22,2147614720,10.412,3.8,3.843,3.827,3.807,,,442,2015/10/28,33.95,Normal,0,0,True,,1172,45,10,19,10,4574.54,2.89,None,0,NonGoHome,0,0,15.466,90,19,False,10,True,73,True,False,StretchComplete,3,Normal,2,,,,,,,,,1,0,1,No,Starting,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,15272,15083,3089,2108,0,FC300X,2,GoHome,False,True,False,59.405319,9.135011,-138.67,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,80,83.1,0,25,0,160,False,False,False,,,,,,NonLimit,False,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,0,P3 Professional,iOS,3.1.60,03Z0887958,DJIph3-HSN-03,2016/10/08 10:05:36,048LAA551V,078JAA2487,6171154320737,Timeout,,,,,,2,1,1,8401,2020/01/22 12:25:55.214,59.405319,9.135011,2298.39,917.5,81.9,15.68,5,0,526,138.67,P3 Professional,2016/10/08 10:05:36,DJIph3-HSN-03,03Z0887958,048LAA551V,078JAA2487,6171154320737,iOS,3.1.60,59.405246,9.13495,5,,,
2020/01/22 12:28:09.937,,Recording,0,,45.47,0.3,0.13,29.26,45.53,29.57,40.1,59.405425,9.135482,27.2,165.9,0,0,0,0.8,0.9,-32.7,GPS_Atti,6,Other,0,True,Sky,True,False,Standby,0,True,False,0,F,True,False,False,5,Smart,False,False,False,False,False,False,False,False,17,RC_AssistantTakeoff,9,None,0,Already,0,False,183,0,134.7,1,9,P3 Advanced,MonitorError,0,,0,RC,0,-89.9,0,-32.7,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,0,0,0,0,0,0,0,F,False,0,0,0,0,0,0,0,0,90,15.256,3767,4186,95,22,2147614720,10.581,3.79,3.834,3.824,3.807,,,442,2015/10/28,33.95,Normal,0,0,True,,1172,45,10,19,10,4574.54,2.892,None,0,NonGoHome,0,0,15.474,90,19,False,10,True,73,True,False,StretchComplete,3,Normal,2,,,,,,,,,1,0,1,No,Starting,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,15272,15076,3087,2107,1,FC300X,2,GoHome,False,True,False,59.405319,9.135011,-138.67,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,80,83.1,0,25,0,160,False,False,False,,,,,,NonLimit,False,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,0,P3 Professional,iOS,3.1.60,03Z0887958,DJIph3-HSN-03,2016/10/08 10:05:36,048LAA551V,078JAA2487,6171154320737,Timeout,,,,,,2,1,1,8401,2020/01/22 12:25:55.214,59.405319,9.135011,2298.39,917.5,81.9,15.68,5,0,526,138.67,P3 Professional,2016/10/08 10:05:36,DJIph3-HSN-03,03Z0887958,048LAA551V,078JAA2487,6171154320737,iOS,3.1.60,59.405246,9.13495,5,,,
2020/01/22 12:32:16.495,,Stop,0,,569.68,0.55,0.02,509.53,570.9,509.53,40.1,59.409591,9.131808,29.8,168.5,0,0,0,2.1,0.6,-40.1,GPS_Atti,6,Other,0,True,Sky,True,False,Standby,0,True,False,0,F,True,False,False,5,Smart,False,False,False,False,False,False,False,False,18,RC_AssistantTakeoff,9,None,0,Already,0,False,197,0,381.2,1,9,P3 Advanced,MonitorError,0,,0,RC,0,-90,0,-40,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,0,0,0,0,0,0,0,F,False,0,0,0,0,0,0,0,0,72,14.906,3013,4186,95,22,2147614720,10.862,3.701,3.743,3.736,3.713,,,442,2015/10/28,38.95,Normal,0,0,True,,881,105,11,23,10,3437.54,2.962,None,0,NonGoHome,0,0,15.093,72,19,False,10,True,61,True,False,StretchComplete,3,Normal,2,,,,,,,,,1,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,15272,13318,2727,1862,0,FC300X,2,GoHome,False,True,False,59.405319,9.135011,-138.67,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,80,83.1,0,24,0,160,False,False,False,,,,,,NonLimit,False,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,0,P3 Professional,iOS,3.1.60,03Z0887958,DJIph3-HSN-03,2016/10/08 10:05:36,048LAA551V,078JAA2487,6171154320737,Timeout,,,,,,2,1,1,8401,2020/01/22 12:25:55.214,59.405319,9.135011,2298.39,917.5,81.9,15.68,5,0,526,138.67,P3 Professional,2016/10/08 10:05:36,DJIph3-HSN-03,03Z0887958,048LAA551V,078JAA2487,6171154320737,iOS,3.1.60,59.405246,9.13495,5,,,
2020/01/22 12:32:16.600,,,0,,569.7,0.55,0.12,509.53,570.91,509.53,40.1,59.409591,9.131808,29.8,168.5,0,0,0,2,0.7,-40.1,GPS_Atti,6,Other,0,True,Sky,True,False,Standby,0,True,False,0,F,True,False,False,5,Smart,False,False,False,False,False,False,False,False,18,RC_AssistantTakeoff,9,None,0,Already,0,False,197,0,381.3,1,9,P3 Advanced,MonitorError,0,,0,RC,0,-89.9,0,-40,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,0,0,-15,515,0,0,0,F,False,0,0,0,0,0,0,0,0,72,14.906,3013,4186,95,22,2147614720,10.862,3.701,3.743,3.736,3.713,,,442,2015/10/28,38.95,Normal,0,0,True,,881,105,11,23,10,3437.54,2.962,None,0,NonGoHome,0,0,15.093,72,19,False,10,True,61,True,False,StretchComplete,3,Normal,2,,,,,,,,,1,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,15272,13318,2727,1862,0,FC300X,2,GoHome,False,True,False,59.405319,9.135011,-138.67,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,80,83.1,0,24,0,160,False,False,False,,,,,,NonLimit,False,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,0,P3 Professional,iOS,3.1.60,03Z0887958,DJIph3-HSN-03,2016/10/08 10:05:36,048LAA551V,078JAA2487,6171154320737,Timeout,,,,,,2,1,1,8401,2020/01/22 12:25:55.214,59.405319,9.135011,2298.39,917.5,81.9,15.68,5,0,526,138.67,P3 Professional,2016/10/08 10:05:36,DJIph3-HSN-03,03Z0887958,048LAA551V,078JAA2487,6171154320737,iOS,3.1.60,59.405246,9.13495,5,,,
2020/01/22 12:32:16.705,,,0,,569.7,0.55,0.02,509.53,570.91,509.53,40.1,59.409591,9.131808,29.8,168.5,0,0,0,1.9,0.5,-40.1,GPS_Atti,6,Other,0,True,Sky,True,False,Standby,0,True,False,0,F,True,False,False,5,Smart,False,False,False,False,False,False,False,False,18,RC_AssistantTakeoff,9,None,0,Already,0,False,197,0,381.4,1,9,P3 Advanced,MonitorError,0,,0,RC,0,-90,0,-40,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,0,0,0,1242,0,0,0,F,False,0,0,0,0,0,0,0,0,72,14.906,3013,4186,95,22,2147614720,10.862,3.701,3.743,3.736,3.713,,,442,2015/10/28,38.95,Normal,0,0,True,,881,105,11,23,10,3437.54,2.962,None,0,NonGoHome,0,0,15.093,72,19,False,10,True,61,True,False,StretchComplete,3,Normal,2,,,,,,,,,1,0,1,No,No,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,15272,13318,2727,1862,0,FC300X,2,GoHome,False,True,False,59.405319,9.135011,-138.67,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,80,83.1,0,24,0,160,False,False,False,,,,,,NonLimit,False,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,NonSmart,0,P3 Professional,iOS,3.1.60,03Z0887958,DJIph3-HSN-03,2016/10/08 10:05:36,048LAA551V,078JAA2487,6171154320737,Timeout,,,,,,2,1,1,8401,2020/01/22 12:25:55.214,59.405319,9.135011,2298.39,917.5,81.9,15.68,5,0,526,138.67,P3 Professional,2016/10/08 10:05:36,DJIph3-HSN-03,03Z0887958,048LAA551V,078JAA2487,6171154320737,iOS,3.1.60,59.405246,9.13495,5,,,
